"ID","Title","Description","Comments","Resolution","Component","Severity","Priority","Status","Created","ReleaseVersion"
"BUG-1032","Large PDF exports time out for accounts with >500 invoices","PDF export endpoint times out at 30s for large accounts. User has no way to download their invoices.","Synchronous PDF generation simply can't fit in HTTP timeout for that volume. Need async approach.","Moved large exports to background job + email delivery. Show 'we will email you' message instead of inline download for >100 rows.","Reports","Medium","Medium","Closed","2024-08-25","v2.3.0"
"BUG-1040","Date picker broken on Safari iOS","Date picker on /reports page shows blank picker on iPhone Safari. Users cannot filter by date range from mobile.","Library we use does not support iOS-native date input properly. Has been a known issue in the upstream repo for 8 months.","Replaced the date picker library with a Safari-compatible alternative. Added Browserstack test on iOS Safari.","Frontend","Medium","Medium","Closed","2024-04-11","v2.2.0"
"BUG-1041","Drag-and-drop file upload does not work in Firefox","Dragging a file onto the upload zone does nothing in Firefox. Works in Chrome and Edge. Click-to-upload still works as fallback.","Missing dragover preventDefault. Classic.","Added the preventDefault. Tested across Chrome/Firefox/Safari/Edge.","Frontend","Low","Low","Closed","2024-07-19","v2.3.0"
"BUG-1042","Chrome autofill conflicts with form validation","Chrome autofills the signup form but our validation flags the autofilled values as empty until user clicks into a field. Causes signup drop-off.","Our validation reads from React state which never gets updated when Chrome autofills directly into the DOM input.","Added input event listener that syncs DOM value back to React state. Documented this gotcha in our form component README.","Frontend","Medium","Medium","Closed","2024-09-15","v2.3.0"
"BUG-1050","Email notifications sent twice for the same event","Customers receiving duplicate notification emails. Customer success flagged 12 complaints in a week.","Notification consumer was missing idempotency. A retry on transient SendGrid 503 caused duplicate dispatches.","Added an idempotency key (event_id + recipient) with a 24h dedup window in Redis. Replayed last 7 days of events to confirm no further dupes.","Notifications","High","High","Closed","2024-03-05","v2.1.0"
"BUG-1051","Push notifications missing on Android 13","Push notifications silently fail on Android 13 devices. No error thrown. Users assume notifications are off.","Android 13 requires runtime permission for POST_NOTIFICATIONS. Our app was using AndroidManifest declaration only which worked on Android 12 but not 13.","Added runtime permission request on first launch. Added a settings page row to re-prompt if denied.","Notifications","High","High","Closed","2024-05-12","v2.2.0"
"BUG-1052","Slack integration drops attachments larger than 5MB","Files >5MB sent via the Slack integration are silently dropped. The message goes through but the file does not.","Slack's files.upload API uses a different endpoint than chat.postMessage and we were not using it for larger files. Our chat.postMessage approach uploads up to 5MB.","Added size-based routing: <5MB uses chat.postMessage, larger files use files.upload v2. Tested with 50MB file successfully.","Integrations","Medium","Medium","Closed","2024-07-30","v2.3.0"
"BUG-1053","Search returns no results for queries with special characters","Searching for 'O'Brien' or 'foo&bar' returns zero results even when those records exist.","Our query builder was sanitizing apostrophes and ampersands too aggressively, stripping them entirely instead of escaping for the search backend.","Fixed query sanitization to properly escape rather than strip. Added test cases for common special chars.","Search","Medium","Medium","Closed","2024-09-22","v2.3.0"
"BUG-1060","Mobile app crashes on launch after iOS 17 update","Users report app crashes immediately on launch after updating to iOS 17. Affects ~8% of iOS users so far.","Crash log points to a deprecated UIScene API we were using during launch. Apple removed it in iOS 17.","Migrated to the new UIScene lifecycle API. Released hotfix v4.2.1 within 48 hours.","Mobile","Critical","Blocker","Closed","2024-10-04","v2.4.0"
"BUG-2001","Refund fails silently for partial refunds over $500","When a support agent issues a partial refund above $500, the API returns 200 but no refund is actually created in the payment processor.","Priya: Confirmed in prod logs — Stripe webhook for refund.created never fires for these. || Support flagged 4 customers affected this week.","","Payments","High","Blocker","Open","2025-01-10","v2.5.0"
"BUG-2002","MFA codes not delivered via SMS for +44 numbers","Users with UK phone numbers report never receiving their 6-digit MFA code, blocking login entirely.","Dev: Looks like our SMS provider is silently dropping messages to a subset of UK carriers. Escalated to vendor.","","Auth","Critical","Blocker","In Progress","2025-01-18","v2.5.0"
"BUG-2003","Rate limiter blocks legitimate traffic during traffic spikes","During flash-sale traffic spikes, the API gateway rate limiter starts rejecting legitimate requests from paying customers, not just abusive ones.","Backend: Threshold is per-IP, and enterprise customers behind shared NAT are getting caught. Fix drafted, in review.","","Backend","High","High","Ready for Test","2025-01-22","v2.5.0"
"BUG-2004","Checkout button disabled state persists after network retry","If a checkout request times out and the frontend retries, the Place Order button stays disabled even after the retry succeeds.","QA: Reproduced on slow 3G throttling. Root cause was a stale loading flag not being reset on retry.","Fixed the retry handler to reset the button's disabled state on both success and failure paths.","Frontend","Medium","Medium","Closed","2025-01-05","v2.5.0"
"BUG-2005","Scheduled report emails stop after account timezone change","When an admin changes their account's timezone setting, previously-scheduled weekly report emails silently stop sending.","Reports team: cron scheduling logic re-computes next-run time using a stale timezone cache.","","Reports","Medium","Medium","Open","2025-02-02","v2.5.0"
"BUG-2006","In-app notification badge count never resets to zero","After a user reads all their notifications, the unread badge count in the top nav still shows a stale number.","Frontend: badge count was reading from a cached Redux slice that wasn't invalidated on mark-as-read.","Invalidate the notifications cache slice whenever mark-as-read fires; badge now updates immediately.","Notifications","Low","Low","Closed","2025-01-12","v2.5.0"
"BUG-2007","Autocomplete suggestions lag by 2+ seconds on large catalogs","For accounts with 10,000+ SKUs, the search autocomplete dropdown takes over two seconds to populate, making it feel broken.","Search: current implementation queries the full index on every keystroke instead of debouncing.","","Search","Medium","Medium","In Progress","2025-02-10","v2.5.0"
"BUG-2008","Android app freezes when rotating device during video upload","Rotating the device mid-upload on Android causes the upload progress screen to freeze, sometimes losing the upload entirely.","Mobile: activity is being recreated on rotation and losing the upload task reference. Needs a retained fragment or ViewModel fix.","","Mobile","High","High","Ready for Test","2025-02-14","v2.5.0"
"BUG-2009","Dashboard initial load exceeds 8s for accounts with 50+ users","Large team accounts see the main dashboard take 8-10 seconds to become interactive, well above the 2s target.","Perf: N+1 query fetching per-user activity stats was the main culprit.","Batched the per-user activity query into a single join; load time down to ~1.8s for large accounts.","Performance","Medium","Medium","Closed","2025-01-28","v2.5.0"
"BUG-2010","Zapier webhook retries create duplicate downstream records","When our Zapier webhook delivery fails and Zapier auto-retries, some customers end up with duplicate records created in their downstream tools.","Integrations: we don't send an idempotency key on webhook payloads, so retries aren't deduped on our side or theirs.","","Integrations","High","High","Open","2025-02-20","v2.5.0"
"BUG-2011","Invoice PDF shows tax total in wrong currency for EU accounts","EU accounts billed in EUR sometimes see their invoice PDF's tax line item rendered in USD while the rest of the invoice is correctly in EUR.","Payments: PDF template pulls tax amount from a different service call than the rest of the totals, and that call defaults to USD.","","Payments","Medium","Medium","Ready for Test","2025-02-25","v2.5.0"
"BUG-2012","Account lockout after 3 failed attempts doesn't reset after 30 min as documented","Docs say a locked account should auto-unlock after 30 minutes, but users report still being locked out hours later.","Auth: the unlock timer was using the wrong Redis TTL unit (seconds vs. milliseconds), so it was effectively 30000 minutes.","Corrected the TTL unit; lockouts now correctly expire after 30 minutes.","Auth","Medium","Medium","Closed","2025-01-15","v2.5.0"
"BUG-2013","Nightly reconciliation job silently skips records with null customer_id","The nightly billing reconciliation job is supposed to flag mismatches for manual review, but records with a null customer_id are silently dropped instead of flagged, hiding real discrepancies.","Backend: this has been silently happening for at least 3 weeks based on job logs — could mean unreconciled revenue.","","Backend","Critical","Blocker","Open","2025-03-01","v2.5.0"
"BUG-2014","Settings page loses unsaved changes on tab switch","If a user edits their settings and switches browser tabs before saving, their changes are lost on return with no warning.","Frontend: no beforeunload / visibility change guard currently implemented for the settings form.","","Frontend","Low","Low","Ready for Test","2025-02-18","v2.5.0"
"BUG-2015","Webhook notification signature validation fails intermittently","Customers report our outbound webhook signature occasionally fails their HMAC validation, causing them to reject valid events.","Notifications: found a race condition where the payload was serialized after signing under high load, causing a mismatch.","Moved signature generation to happen after final payload serialization; validated with load test.","Notifications","High","High","Closed","2025-01-30","v2.5.0"
"BUG-2020","Currency symbol missing on invoice summary for JPY accounts","JPY-billed accounts see a bare number on the invoice summary line instead of the ¥ symbol.","Payments: cosmetic only, totals are correct, just missing the symbol prefix in one template.","","Payments","Low","Low","Ready for Test","2025-03-10","v2.6.0"
"BUG-2021","Password strength meter doesn't update on paste","The password strength indicator only updates on keystroke events, so pasting a password leaves it stuck showing 'weak'.","Frontend: needs an input event listener instead of keyup.","Switched to the input event so paste, autofill, and typing all trigger a re-evaluation.","Auth","Low","Low","Closed","2025-03-05","v2.6.0"
"BUG-2022","Cache invalidation delayed by up to 60s after config update","Admin config changes (e.g. feature flags) can take up to 60 seconds to propagate due to cache TTL, causing confusing 'it's not working' reports right after a change.","Backend: expected given current TTL design, but worth shortening or adding a manual purge button.","","Backend","Medium","Medium","Ready for Test","2025-03-14","v2.6.0"
"BUG-2023","Export filename doesn't include date range when custom range selected","CSV exports with a custom date range download as 'export.csv' instead of including the selected range in the filename.","Reports: minor UX papercut, several users have asked for it in feedback.","","Reports","Low","Low","Open","2025-03-18","v2.6.0"
"BUG-2024","Tooltip text overflows container on narrow viewports","On viewports under 380px wide, tooltip text overflows its container instead of wrapping.","Frontend: missing a max-width and white-space: normal on the tooltip component.","Added max-width and text wrapping to the shared tooltip component.","Frontend","Low","Low","Closed","2025-03-08","v2.6.0"
"BUG-2025","Digest email subject line truncates long account names","Accounts with long display names get a subject line that cuts off mid-word in the weekly digest email.","Notifications: subject line template needs an ellipsis truncation helper instead of a hard character cut.","","Notifications","Low","Medium","Ready for Test","2025-03-20","v2.6.0"
"BUG-2026","Search result highlighting misses partial word matches","Searching 'checkout' highlights the full word in results but doesn't highlight it within 'checkout-flow' or similar compound terms.","Search: highlighting regex is doing exact word-boundary matching only.","","Search","Medium","Medium","Open","2025-03-22","v2.6.0"
"BUG-2027","iOS app icon badge doesn't clear after reading all notifications","The home screen app icon badge count on iOS sometimes stays at a stale number even after all in-app notifications are read.","Mobile: badge count wasn't being reset via the push notification service when read state changed locally.","Added a badge-clear call to APNs whenever local read state reaches zero unread.","Mobile","Low","Low","Closed","2025-03-12","v2.6.0"
"BUG-2028","Memory usage climbs slowly during long report-generation sessions","Generating many large reports back-to-back in one session causes browser memory usage to climb steadily rather than being released between reports.","Perf: suspect a detached DOM node leak from the report preview component not being fully unmounted.","","Performance","Medium","Medium","In Progress","2025-03-25","v2.6.0"
"BUG-2029","Slack message formatting loses bold/italic on long messages","Slack notifications over ~500 characters lose their bold/italic markdown formatting, posting as plain text instead.","Integrations: likely hitting a formatting-strip fallback meant for a different edge case.","","Integrations","Low","Low","Ready for Test","2025-03-28","v2.6.0"
"BUG-1070","Refund processing fails for orders paid via Apple Pay","Refunds initiated for orders originally paid with Apple Pay fail with a generic error, while card-paid refunds work fine.","Payments: Apple Pay tokens require a different refund endpoint that wasn't wired up.","Routed Apple Pay refunds through the correct token-based refund endpoint.","Payments","High","High","Closed","2024-02-14","v2.1.0"
"BUG-1071","OAuth token refresh fails silently after 24 hours","Users connected via OAuth get silently logged out after exactly 24 hours because the refresh token exchange fails without surfacing an error.","Auth: refresh token expiry was misconfigured to match access token expiry instead of being longer-lived.","Extended refresh token TTL and added error surfacing when refresh fails.","Auth","High","High","Closed","2024-05-06","v2.2.0"
"BUG-1072","Database connection pool exhausted during batch import","Large batch imports (10k+ rows) exhaust the DB connection pool, causing unrelated requests across the app to start timing out.","Backend: import job wasn't releasing connections between chunks, holding them for the full job duration.","Refactored the import job to release and reacquire connections per chunk instead of holding one for the whole run.","Backend","Critical","Blocker","Closed","2024-08-19","v2.3.0"
"BUG-1073","Weekly summary report double-counts events near midnight UTC","Events that occur within a few minutes of midnight UTC sometimes get counted in both the current and next weekly report.","Reports: off-by-one in the date range boundary query, using >= on both ends instead of a half-open interval.","Fixed the boundary query to use a proper half-open date range.","Reports","Medium","Medium","Closed","2024-03-21","v2.1.0"
"BUG-1074","Modal dialog traps focus incorrectly, breaks keyboard navigation","Tabbing through a modal dialog occasionally lets focus escape to elements behind the modal, breaking keyboard-only navigation.","Frontend: focus trap wasn't accounting for dynamically-rendered elements added after the modal opened.","Rebuilt the focus trap to recompute focusable elements on each Tab keypress instead of only on mount.","Frontend","Medium","Medium","Closed","2024-06-25","v2.2.0"
"BUG-1075","SMS notifications not sent for accounts outside US/Canada","Accounts with phone numbers outside US/Canada never receive SMS notifications, with no error surfaced anywhere.","Notifications: SMS provider integration was hardcoded to a US/Canada-only sending profile.","Switched to the provider's international sending profile and added delivery status logging.","Notifications","High","High","Closed","2024-09-10","v2.3.0"
"BUG-1076","Filters reset unexpectedly when navigating back from bug detail","Applying filters on the bug list, opening a bug, then hitting browser back clears all previously-applied filters.","Search/Frontend: filter state lived in component state instead of the URL, so it didn't survive navigation.","Moved filter state into URL query params so back navigation restores it correctly.","Search","Low","Low","Closed","2024-04-28","v2.2.0"
"BUG-1077","Push notification deep link opens wrong screen on cold start","Tapping a push notification when the app is fully closed (cold start) sometimes opens the home screen instead of the intended deep-linked screen.","Mobile: deep link intent was being processed before the navigation stack finished initializing on cold start.","Deferred deep link handling until the navigation stack signals it's ready.","Mobile","Medium","Medium","Closed","2024-07-15","v2.3.0"
"BUG-1078","Search indexing job causes CPU spikes affecting API latency","The nightly search re-indexing job causes CPU spikes severe enough to visibly slow down unrelated API requests during the run window.","Perf: indexing job wasn't rate-limited or given a lower scheduling priority relative to request-serving processes.","Moved indexing to a separate worker pool with a CPU cap, isolated from request-serving processes.","Performance","High","High","Closed","2024-02-27","v2.1.0"
"BUG-1079","Google Sheets export drops rows with formulas","Exporting to Google Sheets silently drops any row that originally contained a spreadsheet formula rather than a static value.","Integrations: export step was filtering out cells it couldn't parse as plain values instead of exporting them as text.","Formula cells now export as their last-computed value instead of being dropped.","Integrations","Medium","Medium","Closed","2024-05-30","v2.2.0"
"BUG-1080","Subscription downgrade doesn't prorate remaining days","Downgrading mid-cycle charges the new lower rate for the next full cycle without crediting the unused portion of the higher-tier cycle.","Payments: proration logic only existed for upgrades, not downgrades.","Extended the existing proration logic to handle downgrades symmetrically with upgrades.","Payments","Medium","Medium","Closed","2024-09-28","v2.3.0"
"BUG-1081","Biometric login fails after app update on Android 14","Users on Android 14 who update the app report Face/Fingerprint login failing every time post-update, forcing a password fallback.","Mobile: Android 14 changed biometric prompt API behavior; our cached credential handle became invalid after update.","Re-enrolled biometric credential handle on first launch after an app update on Android 14+.","Auth","High","High","Closed","2024-10-15","v2.4.0"
